Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3D Printing","The Case | May get it from Printing Legion but costs too high (more than 15 for India)",1,10.00,"","duino.lk Local "
"PCB and PCBA","main thing",1,110.00,"","JLC PCB"
